coef,p,model,formula,model_number,sig
-0.04032981941150766,0.09057548456700251,logit,q28_nd ~ q80_n + q81_n + q79 + q42 + qhallucdrug + q80_n * q79,1,FALSE
-0.03851920527866946,0.0780230229980346,logit,q28_nd ~ q80_n + q81_n + q79 + qhallucdrug + q80_n * q79,2,FALSE
-0.036981371608277865,0.07809477176967276,logit,q28_nd ~ q80_n + q81_n + q79 + q42 + q80_n * q79,3,FALSE
-0.033065669011109966,0.08246308230553871,logit,q28_nd ~ q80_n + q81_n + q79 + q80_n * q79,4,FALSE
-0.02542435904350356,0.011157673423207212,logit,q28_nd ~ q80_n + q81_n + q79,5,TRUE
-0.019781972105280092,0.08389034477458956,logit,q28_nd ~ q80_n + q81_n + q79 + qhallucdrug,6,FALSE
-0.009959631545788229,0.512268343942879,logit,q26_n ~ q80_n + q81_n + q79 + qhallucdrug + q80_n * q79,7,FALSE
-0.00820100934969096,0.6141322471905475,logit,q26_n ~ q80_n + q81_n + q79 + q42 + qhallucdrug + q80_n * q79,8,FALSE
-0.006630591200135311,0.5489041962278578,logit,q28_nd ~ q80_n + q81_n + q79 + q42,9,FALSE
-0.006516107423509839,0.7392368816712984,logit,q26_n ~ q80_n + q81_n + q79 + q42 + qhallucdrug + q80_n * q81_n,10,FALSE
-0.00560038875758182,0.6759612673485329,logit,q26_n ~ q80_n + q81_n + q79 + q80_n * q79,11,FALSE
-0.005519483191725643,0.7610693812366842,logit,q26_n ~ q80_n + q81_n + q79 + qhallucdrug + q80_n * q81_n,12,FALSE
-0.004805237849759846,0.0077003185313926645,linear,q28_nd ~ q80_n + q81_n + q79 + q42 + qhallucdrug + q80_n * q79,13,TRUE
-0.00465577658805342,0.008834464987375855,linear,q28_nd ~ q80_n + q81_n + q79 + qhallucdrug + q80_n * q79,14,TRUE
-0.004567564187224342,0.0061558701456332805,linear,q28_nd ~ q80_n + q81_n + q79 + q42 + q80_n * q79,15,TRUE
-0.004351836016101896,0.7640413412591077,logit,q26_n ~ q80_n + q81_n + q79 + q42 + q80_n * q79,16,FALSE
-0.0037703754014148895,0.02309398232830143,linear,q28_nd ~ q80_n + q81_n + q79 + q80_n * q79,17,TRUE
-0.0020817266814863863,0.011137012578129562,linear,q28_nd ~ q80_n + q81_n + q79,18,TRUE
-0.001953713038778098,0.3871036765378879,linear,q26_n ~ q80_n + q81_n + q79 + qhallucdrug + q80_n * q79,19,FALSE
-0.0018449864826626144,0.03350765576335565,linear,q28_nd ~ q80_n + q81_n + q79 + qhallucdrug,20,TRUE
-0.0016491199591479495,0.4833172733797495,linear,q26_n ~ q80_n + q81_n + q79 + q42 + qhallucdrug + q80_n * q79,21,FALSE
-0.001247261885721508,0.5459170697702757,linear,q26_n ~ q80_n + q81_n + q79 + q42 + q80_n * q79,22,FALSE
-0.0010605469536199461,0.5939229636480564,linear,q26_n ~ q80_n + q81_n + q79 + q80_n * q79,23,FALSE
-8.471566840234137e-4,0.3024015924671687,linear,q28_nd ~ q80_n + q81_n + q79 + q42,24,FALSE
-6.927459070102505e-4,0.7827442812216727,linear,q26_n ~ q80_n + q81_n + q79 + q42 + qhallucdrug + q80_n * q81_n,25,FALSE
-6.590739925675183e-4,0.7838682250993498,linear,q26_n ~ q80_n + q81_n + q79 + qhallucdrug + q80_n * q81_n,26,FALSE
